,Product link,Product name,Product Model,Product Type,Product price,Product police number,Product police number type,Product Mileage,Production year,Product post location,Product color,Product fuel type,Product Transmission
86,https://toyotatrust.astra.co.id/TOYOTA-AGYA-AGYA-1.2-G-MT-TRD-BENSIN-(NEW)-MT-2018-4537,TOYOTA AGYA AGYA 1.2 G MT TRD BENSIN (NEW) MT 2018,AGYA,AGYA 1.2 G MT TRD BENSIN (NEW),Rp 115.000.000,B 1924 FIE,even,33016,2018,Karawang,RED,,MT
87,https://toyotatrust.astra.co.id/TOYOTA-AGYA-AGYA-1.2-G-MT-TRD-BENSIN-(NEW)-MT-2017-4713,TOYOTA AGYA AGYA 1.2 G MT TRD BENSIN (NEW) MT 2017,AGYA,AGYA 1.2 G MT TRD BENSIN (NEW),Rp 115.000.000,D 1594 AFS,even,58079,2017,SH,BLACK,,MT
88,https://toyotatrust.astra.co.id/TOYOTA-AGYA-AGYA-1.2-G-MT-BENSIN-(NEW)-MT-2019-4784,TOYOTA AGYA AGYA 1.2 G MT BENSIN (NEW) MT 2019,AGYA,AGYA 1.2 G MT BENSIN (NEW),Rp 130.400.000,L 1756 YD,even,77889,2019,Surabaya,WHITE,GASOLINE,MT
89,https://toyotatrust.astra.co.id/TOYOTA-AGYA-AGYA-1.2-G-MT-BENSIN-(NEW)-MT-2019-4285,TOYOTA AGYA AGYA 1.2 G MT BENSIN (NEW) MT 2019,AGYA,AGYA 1.2 G MT BENSIN (NEW),Rp 120.000.000,T 1171 GP,odd,34844,2019,Karawang,YELLOW,GASOLINE,MT
90,https://toyotatrust.astra.co.id/TOYOTA-AGYA-AGYA-1.2-G-MT-BENSIN-(NEW)-MT-2018-4542,TOYOTA AGYA AGYA 1.2 G MT BENSIN (NEW) MT 2018,AGYA,AGYA 1.2 G MT BENSIN (NEW),Rp 120.000.000,BK 1249 IX,odd,20796,2018,Medan,RED,GASOLINE,MT
91,https://toyotatrust.astra.co.id/TOYOTA-AGYA-AGYA-1.2-G-MT-BENSIN-(ALL-NEW)-MT-2020-4153,TOYOTA AGYA AGYA 1.2 G MT BENSIN (ALL NEW) MT 2020,AGYA,AGYA 1.2 G MT BENSIN (ALL NEW),Rp 134.000.000,F 1180 AAD,even,8776,2020,Cibinong,WHITE,,MT
92,https://toyotatrust.astra.co.id/TOYOTA-AGYA-AGYA-1.2-G-AT-TRD-BENSIN-(NEW)-AT-2019-4358,TOYOTA AGYA AGYA 1.2 G AT TRD BENSIN (NEW) AT 2019,AGYA,AGYA 1.2 G AT TRD BENSIN (NEW),Rp 144.000.000,B 2315 KOO,odd,29711,2019,Kalimalang,WHITE,,AT
93,https://toyotatrust.astra.co.id/TOYOTA-AGYA-AGYA-1.2-G-AT-TRD-BENSIN-(NEW)-AT-2018-4251,TOYOTA AGYA AGYA 1.2 G AT TRD BENSIN (NEW) AT 2018,AGYA,AGYA 1.2 G AT TRD BENSIN (NEW),Rp 130.000.000,T 1171 FV,odd,48892,2018,Karawang,GREY,GASOLINE,AT
94,https://toyotatrust.astra.co.id/TOYOTA-AGYA-AGYA-1.2-G-AT-BENSIN-(NEW)-AT-2019-4335,TOYOTA AGYA AGYA 1.2 G AT BENSIN (NEW) AT 2019,AGYA,AGYA 1.2 G AT BENSIN (NEW),Rp 145.000.000,B 2577 UOG,odd,11674,2019,Kalimalang,WHITE,,AT
95,https://toyotatrust.astra.co.id/TOYOTA-AGYA-AGYA-1.0-G-MT-BENSIN-MT-2014-4356,TOYOTA AGYA AGYA 1.0 G MT BENSIN MT 2014,AGYA,AGYA 1.0 G MT BENSIN,Rp 93.000.000,B 255 JVT,odd,41284,2014,Kalimalang,SILVER,,MT
96,https://toyotatrust.astra.co.id/TOYOTA-AGYA-AGYA-1.0-G-MT-BENSIN-MT-2014-4363,TOYOTA AGYA AGYA 1.0 G MT BENSIN MT 2014,AGYA,AGYA 1.0 G MT BENSIN,Rp 93.000.000,B 1549 TYV,odd,10056,2014,Kalimalang,WHITE,,MT
97,https://toyotatrust.astra.co.id/SUZUKI-ERTIGA-ERTIGA-1.5-GX-MT-MT-2012-4667,SUZUKI ERTIGA ERTIGA 1.5 GX MT MT 2012,ERTIGA,ERTIGA 1.5 GX MT,Rp 128.900.000,L 1641 ET,odd,149147,2012,Surabaya,RED,GASOLINE,MT
98,https://toyotatrust.astra.co.id/SUZUKI-ERTIGA-ERTIGA-1.5-GL-MT-MT-2018-4097,SUZUKI ERTIGA ERTIGA 1.5 GL MT MT 2018,ERTIGA,ERTIGA 1.5 GL MT,Rp 165.900.000,L 1137 YL,odd,38460,2018,Surabaya,WHITE,GASOLINE,MT
99,https://toyotatrust.astra.co.id/SUZUKI-ERTIGA-ERTIGA-1.5-GL-MT-MT-2017-4151,SUZUKI ERTIGA ERTIGA 1.5 GL MT MT 2017,ERTIGA,ERTIGA 1.5 GL MT,Rp 151.700.000,L 1311 ABR,odd,90364,2017,Surabaya,WHITE,GASOLINE,MT
100,https://toyotatrust.astra.co.id/SUZUKI-BALENO-BALENO-HATCHBACK-MT-MT-2020-4175,SUZUKI BALENO BALENO HATCHBACK MT MT 2020,BALENO,BALENO HATCHBACK MT,Rp 192.000.000,D 1843 AIT,odd,9235,2020,SH,WHITE,GASOLINE,MT
101,https://toyotatrust.astra.co.id/NISSAN-LIVINA-GRAND-LIVINA-SV-MT-(NEW)-MT-2013-4657,NISSAN LIVINA GRAND LIVINA SV MT (NEW) MT 2013,LIVINA,GRAND LIVINA SV MT (NEW),Rp 103.500.000,L 1610 IQ,even,88253,2013,Surabaya,RED,GASOLINE,MT
102,https://toyotatrust.astra.co.id/NISSAN-LIVINA-ALL-NEW-LIVINA-1.5-VE-A/T-AT-2019-3435,T AT 2019,,,,,,,,,,,
103,https://toyotatrust.astra.co.id/MITSUBISHI-XPANDER-XPANDER-1.5-AT-ULTIMATE-AT-2019-3204,MITSUBISHI XPANDER XPANDER 1.5 AT ULTIMATE AT 2019,XPANDER,XPANDER 1.5 AT ULTIMATE,Rp 232.853.000,L 1252 CC,even,71931,2019,Surabaya,GREY,GASOLINE,AT
104,https://toyotatrust.astra.co.id/MITSUBISHI-XPANDER-XPANDER-1.5-AT-ULTIMATE-AT-2018-4658,MITSUBISHI XPANDER XPANDER 1.5 AT ULTIMATE AT 2018,XPANDER,XPANDER 1.5 AT ULTIMATE,Rp 215.000.000,B 2688 SYB,even,43780,2018,SH,RED,,AT
105,https://toyotatrust.astra.co.id/MITSUBISHI-XPANDER-XPANDER-1.5-AT-ULTIMATE-AT-2017-3974,MITSUBISHI XPANDER XPANDER 1.5 AT ULTIMATE AT 2017,XPANDER,XPANDER 1.5 AT ULTIMATE,Rp 212.000.000,BK 1769 FS,odd,103478,2017,Medan,WHITE,GASOLINE,AT
106,https://toyotatrust.astra.co.id/MITSUBISHI-XPANDER-XPANDER-1.5-AT-SPORT-AT-2018-2956,MITSUBISHI XPANDER XPANDER 1.5 AT SPORT AT 2018,XPANDER,XPANDER 1.5 AT SPORT,Rp 216.511.000,W 1505 VJ,odd,59740,2018,Surabaya,GREY,GASOLINE,AT
